Logga: x117, y33

Canvas: w352, h455
pos: x12, y150

Blocken
B: 32
H: 24 (mellan varje block)
svarta första Y=3 

banan array:

rows: 11
cols: 19

array:[
[8,8,8,8,8,8,8,8,8,8,8],
[1,1,1,1,1,1,1,1,1,1,1],
[1,0,1,0,0,0,0,0,0,0,1],
[1,0,1,0,1,0,1,1,1,1,1],
[1,0,1,0,1,0,1,0,0,0,1],
[1,0,0,0,1,0,1,0,1,1,1],
[1,1,1,1,1,0,0,0,0,0,1],
[1,0,0,0,0,0,1,1,1,0,1],
[1,0,1,1,1,1,1,0,1,0,1],
[1,0,1,0,0,0,0,0,1,1,1],
[1,0,0,0,1,0,1,0,0,0,1],
[1,1,1,1,1,0,1,1,1,1,1],
[1,0,0,0,1,0,0,0,0,0,0],
[1,0,1,0,1,0,1,1,1,0,1],
[1,0,1,0,1,0,0,0,1,0,1],
[1,0,1,0,0,0,1,0,1,0,1],
[1,0,1,1,1,1,1,1,1,0,1],
[1,0,0,0,0,0,0,0,0,0,1], 
[1,1,1,1,1,1,1,1,1,1,1],
